num_variables,num_clauses,ratio_clauses_variables,CONTRADICTS,NEUTRAL,ENTAILS
20,5,0.25,0,100,0
20,10,0.5,0,100,0
20,15,0.75,0,100,0
20,20,1,0,100,0
20,25,1.25,0,100,0
20,30,1.5,0,100,0
20,35,1.75,0,100,0
20,40,2,0,100,0
20,45,2.25,0,100,0
20,50,2.5,0,99,1
20,55,2.75,0,100,0
20,60,3,0,99,1
20,65,3.25,0,97,3
20,70,3.5,0,94,6
25,5,0.2,0,100,0
25,10,0.4,0,100,0
25,15,0.6,0,100,0
25,20,0.8,0,100,0
25,25,1,0,100,0
25,30,1.2,0,100,0
25,35,1.4,0,100,0
25,40,1.6,0,100,0
25,45,1.8,0,100,0
25,50,2,0,100,0
25,55,2.2,0,100,0
25,60,2.4,0,100,0
25,65,2.6,0,100,0
25,70,2.8,0,99,1
30,5,0.166666667,0,100,0
30,10,0.333333333,0,100,0
30,15,0.5,0,100,0
30,20,0.666666667,0,100,0
30,25,0.833333333,0,100,0
30,30,1,0,100,0
30,35,1.166666667,0,100,0
30,40,1.333333333,0,100,0
30,45,1.5,0,100,0
30,50,1.666666667,0,100,0
30,55,1.833333333,0,100,0
30,60,2,0,100,0
30,65,2.166666667,0,100,0
30,70,2.333333333,0,100,0
35,5,0.142857143,0,100,0
35,10,0.285714286,0,100,0
35,15,0.428571429,0,100,0
35,20,0.571428571,0,100,0
35,25,0.714285714,0,100,0
35,30,0.857142857,0,100,0
35,35,1,0,100,0
35,40,1.142857143,0,100,0
35,45,1.285714286,0,100,0
35,50,1.428571429,0,100,0
35,55,1.571428571,0,100,0
35,60,1.714285714,0,100,0
35,65,1.857142857,0,100,0
35,70,2,0,100,0
40,5,0.125,0,100,0
40,10,0.25,0,100,0
40,15,0.375,0,100,0
40,20,0.5,0,100,0
40,25,0.625,0,100,0
40,30,0.75,0,100,0
40,35,0.875,0,100,0
40,40,1,0,100,0
40,45,1.125,0,100,0
40,50,1.25,0,100,0
40,55,1.375,0,100,0
40,60,1.5,0,100,0
40,65,1.625,0,100,0
40,70,1.75,0,100,0
45,5,0.111111111,0,100,0
45,10,0.222222222,0,100,0
45,15,0.333333333,0,100,0
45,20,0.444444444,0,100,0
45,25,0.555555556,0,100,0
45,30,0.666666667,0,100,0
45,35,0.777777778,0,100,0
45,40,0.888888889,0,100,0
45,45,1,0,100,0
45,50,1.111111111,0,100,0
45,55,1.222222222,0,100,0
45,60,1.333333333,0,100,0
45,65,1.444444444,0,100,0
45,70,1.555555556,0,100,0
50,5,0.1,0,100,0
50,10,0.2,0,100,0
50,15,0.3,0,100,0
50,20,0.4,0,100,0
50,25,0.5,0,100,0
50,30,0.6,0,100,0
50,35,0.7,0,100,0
50,40,0.8,0,100,0
50,45,0.9,0,100,0
50,50,1,0,100,0
50,55,1.1,0,100,0
50,60,1.2,0,100,0
50,65,1.3,0,100,0
50,70,1.4,0,100,0
,,,,,
20,20,1,0,100,0
20,40,2,0,100,0
20,60,3,0,99,1
20,80,4,0,71,29
20,100,5,0,26,74
20,120,6,0,3,97
25,25,1,0,100,0
25,50,2,0,100,0
25,75,3,0,100,0
25,100,4,0,75,25
25,125,5,0,27,73
25,150,6,0,0,100
30,30,1,0,100,0
30,60,2,0,100,0
30,90,3,0,100,0
30,120,4,0,74,26
30,150,5,0,13,87
30,180,6,0,0,100
35,35,1,0,100,0
35,70,2,0,100,0
35,105,3,0,100,0
35,140,4,0,75,25
35,175,5,0,8,92
35,210,6,0,1,99
40,40,1,0,100,0
40,80,2,0,100,0
40,120,3,0,100,0
40,160,4,0,79,21
40,200,5,0,11,89
40,240,6,0,0,100
45,45,1,0,100,0
45,90,2,0,100,0
45,135,3,0,100,0
45,180,4,0,80,20
45,225,5,0,9,91
45,270,6,0,0,100
50,50,1,0,100,0
50,100,2,0,100,0
50,150,3,0,100,0
50,200,4,0,78,22
50,250,5,0,6,94
50,300,6,0,0,100
