num_variables,num_clauses,ratio_clauses_variables,UNSATISFIABLE,SATISFIABLE
20,20,1,0,100
20,40,2,0,100
20,60,3,0,100
20,80,4,27,73
20,100,5,73,27
20,120,6,97,3
20,140,7,100,0
25,25,1,0,100
25,50,2,0,100
25,75,3,0,100
25,100,4,25,75
25,125,5,83,17
25,150,6,99,1
25,175,7,98,2
30,30,1,0,100
30,60,2,0,100
30,90,3,0,100
30,120,4,25,75
30,150,5,88,12
30,180,6,100,0
30,210,7,100,0
35,35,1,0,100
35,70,2,0,100
35,105,3,0,100
35,140,4,22,78
35,175,5,90,10
35,210,6,98,2
35,245,7,100,0
40,40,1,0,100
40,80,2,0,100
40,120,3,0,100
40,160,4,29,71
40,200,5,89,11
40,240,6,100,0
40,280,7,100,0
45,45,1,0,100
45,90,2,0,100
45,135,3,0,100
45,180,4,24,76
45,225,5,94,6
45,270,6,100,0
45,315,7,100,0
50,50,1,0,100
50,100,2,0,100
50,150,3,0,100
50,200,4,19,81
50,250,5,95,5
50,300,6,100,0
50,350,7,100,0
